IEEE1 Amplidyne;Amplidyne;Amplidyne;Amplidyne;Amplidyne;Amplidyne;Amplidyne;Amplidyne;Amplidyne;Amplidyne
"Zeitpunkt in s";"u";"upss";"voel";"vuel";"uerrs";"vf";"usetp";"Vbias";"avrref"
0,209000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,210000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,211000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,212000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,213000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,214000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,215000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,216000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,217000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,218000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,219000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,220000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,221000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,222000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,223000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,224000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,225000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,226000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,227000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,228000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,229000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,230000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,231000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,232000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,233000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,234000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,235000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,236000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,237000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,238000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,239000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,240000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,241000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,242000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,243000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,244000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,245000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,246000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,247000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,248000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,249000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,250000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,251000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,252000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,253000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,254000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,255000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,256000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,257000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,258000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,259000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,260000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,261000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,262000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
0,263000;1,025000;0,000000;0,000000;0,000000;1,791692;0,000000;1,025000;-0,001571;1,023429
